price,Комнатность,Площадь квартиры,Жилая площадь,Площадь кухни,Этаж,Санузел,Кол-во санузлов,Ремонт,Мебель,Вид из окна,Серия дома,Лифт,Материал стен,Отопление,Парковка,,Высота потолков,Балкон/лоджия,Отделка,Срок сдачи,Тип жилья,Кондиционер,Кухонная мебель,Временная эпоха,Год постройки,Интернет,Вид из окон,Реновация,Территория,Холодильник,Стиральная машина,Телевизор,Посудомойка,Консьерж
10900000,1-комнатная,"38,6 м²","20,7 м²","8,5 м²",8 из 9,раздельный,1,Хороший,,на улицу,П-44,есть,панель,центральное,закрытая,Спортивная площадка,,есть,,,,,,,,,,,,,,,,
9900000,1-комнатная,"38,7 м²","24,2 м²","6,6 м²",1 из 8,совмещённый,1,,,во двор,,есть,блок,центральное,,,,,,,,,,,,,,,,,,,,
9250000,1-комнатная,"38,7 м²",,"9,9 м²",11 из 14,совмещённый,1,,,во двор,,есть,,,,,"2,7 м",есть,,,,,,,2022,,,,,,,,,
10900000,1-комнатная,"38,7 м²","20,8 м²","8,6 м²",14 из 14,раздельный,1,Нужен ремонт,нет,во двор,П-46,есть,панель,центральное,,Хорошая школа,"2,64 м",есть,,,,,,,,есть,,,,,,,,
10900000,1-комнатная,"38,7 м²","20,8 м²","8,6 м²",14 из 14,раздельный,1,Хороший,,во двор,П-46,есть,панель,центральное,закрытая,Хорошая школа,"2,64 м",есть,,,,,,,,,,,,,,,,
28177857,1-комнатная,"38,7 м²",,,19 из 32,совмещённый,1,,,,,есть,кирпич-монолит,,закрытая,Спортивная площадка,3 м,,предчистовая,,,,,,2024,,,,,,,,,
18311103,1-комнатная,"38,7 м²","12,1 м²","18,7 м²",19 из 53,,,,,во двор,,есть,монолит,,подземная,,"2,85 м",,предчистовая,2025 г.,,,,,,,,,,,,,,
11700000,1-комнатная,"38,7 м²","20,9 м²","8,6 м²",2 из 12,,,,,,П-30,,панель,центральное,,Хорошие школы,,,,,,,,брежневка,,,,,,,,,,
10100000,1-комнатная,"38,7 м²",20 м²,8 м²,2 из 9,раздельный,1,Хороший,,во двор,П-46,есть,панель,центральное,,Детский сад,"2,64 м",есть,,,,,,,,,,,,,,,,
24700000,1-комнатная,"38,7 м²",25 м²,6 м²,20 из 22,совмещённый,1,,,,,есть,кирпич-монолит,,,Спортивная площадка,"3,1 м",,,,,,,,2020,,,,,,,,,
24700000,1-комнатная,"38,7 м²",25 м²,6 м²,20 из 22,совмещённый,1,Дизайнерский,,,,есть,кирпич-монолит,,подземная,Спортивная площадка,"3,1 м",,,,,,,,,,во двор и на улицу,,,,,,,
15574500,1-комнатная,"38,7 м²",11 м²,,21 из 48,,,,,во двор,,есть,монолит,,подземная,,"2,85 м",,предчистовая,2027 г.,,,,,,,,,,,,,,
13500000,1-комнатная,"38,7 м²",20 м²,10 м²,22 из 22,,,Хороший,есть,во двор,КОПЭ,есть,панель,центральное,закрытая,Фитнес клуб,"2,64 м",,,,,,,,,,,,,,,,,
15662362,1-комнатная,"38,7 м²",11 м²,,23 из 48,,,,,во двор,,есть,монолит,,подземная,,"2,85 м",,предчистовая,2027 г.,,,,,,,,,,,,,,
10500000,1-комнатная,"38,7 м²",,12 м²,5 из 12,совмещённый,1,,есть,во двор,П-46м,есть,монолит,,закрытая,Спортивная площадка,,есть,,,,,,,2019,,,,,,,,,
8993331,1-комнатная,"38,7 м²","10,9 м²","19,2 м²",5 из 9,совмещённый,1,,,,,есть,монолит,,открытая,,"2,7 м",есть,,1 кв. 2025 г.,,,,,,,,,,,,,,
11390000,1-комнатная,"38,7 м²","13,4 м²","10,5 м²",6 из 14,совмещённый,1,Евро,,во двор,,есть,монолит,центральное,закрытая,Спортивная площадка,"2,7 м",есть,,,,,,,2019,,,,,,,,,
11600000,1-комнатная,"38,7 м²",,8 м²,6 из 8,совмещённый,1,Евро,есть,во двор,ГМС-2001,есть,монолит,центральное,закрытая,Спортивная площадка,"2,8 м",есть,,,,,,,,,,,,,,,,
13200000,1-комнатная,"38,7 м²","18,1 м²","11,9 м²",7 из 20,совмещённый,1,Хороший,нет,на улицу,,есть,монолит,,закрытая,,"2,8 м",есть,,,,,,,,,,,,,,,,
8479719,1-комнатная,"38,7 м²","10,9 м²","18,7 м²",8 из 10,совмещённый,1,,,,,есть,монолит,,открытая,,"2,7 м",есть,без отделки,3 кв. 2026 г.,,,,,,,,,,,,,,
