price,Комнатность,Площадь квартиры,Этаж,Отделка,Вид из окна,Срок сдачи,Высота потолков,Лифт,Материал стен,Парковка,Жилая площадь,Площадь кухни,Кол-во санузлов,Балкон/лоджия,Санузел,Ремонт,Мебель,Кухонная мебель,Отопление,,Тип жилья,Год постройки,Консьерж,Территория,Вид из окон,Временная эпоха,Серия дома,Кондиционер,Реновация,Посудомойка,Холодильник,Интернет,Телевизор,Стиральная машина
49487733,3-комнатная,"98,3 м²",22 из 47,без отделки,,2 кв. 2027 г.,"2,95 м",,монолит,закрытая,40 м²,"27,5 м²",3,есть,,,,,,,,,,,,,,,,,,,,
55076509,3-комнатная,"98,3 м²",26 из 46,чистовая,,2 кв. 2027 г.,"2,95 м",,монолит,закрытая,"40,1 м²","27,1 м²",3,есть,,,,,,,,,,,,,,,,,,,,
46965927,3-комнатная,"98,3 м²",31 из 46,без отделки,,2 кв. 2027 г.,"2,95 м",,монолит,закрытая,"40,1 м²","27,1 м²",3,есть,,,,,,,,,,,,,,,,,,,,
59289939,3-комнатная,"98,3 м²",38 из 47,чистовая,,2 кв. 2027 г.,"2,95 м",,монолит,закрытая,40 м²,"27,5 м²",3,есть,,,,,,,,,,,,,,,,,,,,
59518360,3-комнатная,"98,3 м²",40 из 47,чистовая,,2 кв. 2027 г.,"2,95 м",,монолит,закрытая,40 м²,"27,5 м²",3,есть,,,,,,,,,,,,,,,,,,,,
47839135,3-комнатная,"98,3 м²",7 из 47,без отделки,,2 кв. 2027 г.,"2,95 м",,монолит,закрытая,40 м²,"27,5 м²",3,есть,,,,,,,,,,,,,,,,,,,,
53220109,3-комнатная,"98,3 м²",9 из 46,чистовая,,2 кв. 2027 г.,"2,95 м",,монолит,закрытая,"40,1 м²","27,1 м²",3,есть,,,,,,,,,,,,,,,,,,,,
58000000,3-комнатная,"98,4 м²",14 из 19,,на улицу,,3 м,есть,монолит,подземная,64 м²,"27,5 м²",2,,совмещённый,Дизайнерский,есть,есть,,,,2023,,,,,,есть,,,,,,
59287423,3-комнатная,"98,5 м²",5 из 6,без отделки,на улицу,,"4,2 м",,,,"70,9 м²",,,,,,,,,,,2023,,,,,,,,,,,,
47000000,3-комнатная,"98,5 м²",5 из 8,,,,"3,1 м",,монолит,подземная,55 м²,15 м²,3,есть,,Нужен ремонт,,,,,,2022,,,во двор и на улицу,,,,,,,,,
44683590,3-комнатная,"98,6 м²",2 из 17,без отделки,во двор,2025 г.,"3,06 м",,,,"57,4 м²",,,,,,,,,,,,,,,,,,,,,,,
56342783,3-комнатная,"98,7 м²",4 из 6,без отделки,на улицу,,"4,2 м",,,,"70,9 м²",,,,,,,,,,,2023,,,,,,,,,,,,
43712346,3-комнатная,"98,8 м²",2 из 17,без отделки,во двор,2025 г.,"3,06 м",,,,"58,4 м²",,,,,,,,,,,,,,,,,,,,,,,
32900000,3-комнатная,98 м²,13 из 27,,,,"2,8 м",есть,панель,закрытая,54 м²,"11,5 м²",2,есть,,Нужен ремонт,нет,,центральное,Хорошие школы,,,,,во двор и на улицу,,,,,,,,,
59006780,3-комнатная,98 м²,26 из 27,предчистовая,,3 кв. 2025 г.,3 м,есть,кирпич-монолит,закрытая,"39,7 м²",,1,,совмещённый,,,,,Спортивная площадка,,,,,,,,,,,,,,
60000000,3-комнатная,98 м²,3 из 10,,на улицу,,3 м,,кирпич,,"67,9 м²",9 м²,1,есть,раздельный,Чистовая отделка,нет,есть,центральное,Хорошие школы,,,,закрытая,,сталинка,П-44,,,,,,,
63851447,3-комнатная,"99,1 м²",17 из 17,без отделки,на улицу,2025 г.,"3,4 м",,,,"38,7 м²",,,,,,,,,,,,,,,,,,,,,,,
35243924,3-комнатная,"99,1 м²",47 из 59,без отделки,,2028 г.,"2,85 м",,,,"30,8 м²",,,,,,,,,,,,,,,,,,,,,,,
36700000,3-комнатная,"99,2 м²",13 из 18,,,,,,панель,,"55,5 м²","11,4 м²",,,,,,,центральное,Хорошая школа,,,,,,,И-155,,,,,,,
44000000,3-комнатная,"99,2 м²",2 из 6,,,,,,кирпич,,"83,5 м²","10,7 м²",,,,,,,центральное,Хорошая школа,,,,,,,,,,,,,,
41990000,3-комнатная,"99,3 м²",6 из 11,,,,"3,17 м",есть,монолит,подземная,"47,6 м²","20,5 м²",2,есть,совмещённый,Нужен ремонт,,,,,,2025,,,,,,,,,,,,
55000000,3-комнатная,"99,3 м²",6 из 20,,,,3 м,есть,монолит,,"48,3 м²","24,3 м²",1,есть,раздельный,Нужен ремонт,,,,,,2020,,,во двор и на улицу,,,,,,,,,
41608840,3-комнатная,"99,4 м²",10 из 21,,,2025 г.,,,монолит,подземная,"59,8 м²","5,7 м²",,,,,,,,,,,,,,,,,,,,,,
41789748,3-комнатная,"99,4 м²",12 из 21,,,2025 г.,,,монолит,подземная,"59,8 м²","5,7 м²",,,,,,,,,,,,,,,,,,,,,,
42477198,3-комнатная,"99,4 м²",15 из 21,,,2025 г.,,,монолит,подземная,"59,8 м²","5,7 м²",,,,,,,,,,,,,,,,,,,,,,
51254372,3-комнатная,"99,5 м²",13 из 17,без отделки,во двор,2025 г.,"3,06 м",,,,"67,6 м²",,,,,,,,,,,,,,,,,,,,,,,
51481160,3-комнатная,"99,5 м²",14 из 17,без отделки,во двор,2025 г.,"3,06 м",,,,"67,6 м²",,,,,,,,,,,,,,,,,,,,,,,
62980924,3-комнатная,"99,5 м²",17 из 17,без отделки,во двор,2025 г.,"3,4 м",,,,"67,6 м²",,,,,,,,,,,,,,,,,,,,,,,
48124398,3-комнатная,"99,5 м²",7 из 17,без отделки,во двор,2025 г.,"3,06 м",,,,"67,6 м²",,,,,,,,,,,,,,,,,,,,,,,
35000000,3-комнатная,"99,8 м²",17 из 25,,во двор,,"3,2 м",есть,монолит,,"48,7 м²","35,4 м²",2,,раздельный,Нужен ремонт,нет,,,,апартаменты,2022,,закрытая,,,,,,,,,,
32400000,3-комнатная,99 м²,15 из 27,,,,3 м,есть,монолит,,48 м²,15 м²,,,,Нужен ремонт,,,,,,2022,,,,,,,,,,,,
29100000,4-комнатная,"100,4 м²",11 из 22,,,,,,панель,,65 м²,10 м²,,,,,,,центральное,Хорошие школы,,,,,,,КОПЭ,,,,,,,
24900000,4-комнатная,"100,7 м²",4 из 5,,,,"2,72 м",,кирпич,,"72,3 м²","9,8 м²",1,,раздельный,Нужен ремонт,,,,,,,,,во двор и на улицу,,,,,,,,,
56098186,4-комнатная,"100,8 м²",39 из 45,без отделки,во двор,1 кв. 2025 г.,3 м,,монолит,закрытая,"70,6 м²","7,6 м²",2,,,,,,центральное,,,,,закрытая,,хрущевка,,,Подлежит реновации,,,,,
27200000,4-комнатная,100 м²,13 из 14,,,,"2,7 м",есть,панель,закрытая,60 м²,11 м²,1,,раздельный,Евро,есть,,центральное,Хорошая школа,,,,,во двор и на улицу,,П-46м,,,,,,,
60000000,4-комнатная,100 м²,13 из 25,,,,3 м,есть,монолит,подземная,60 м²,15 м²,2,есть,,Дизайнерский,есть,есть,центральное,Спортивная площадка,апартаменты,2017,,,во двор и на улицу,,,есть,,,,,,
39890000,4-комнатная,100 м²,3 из 8,,во двор,,"3,05 м",есть,кирпич,,"65,6 м²","15,8 м²",1,,раздельный,Нужен ремонт,есть,есть,,,,,,закрытая,,сталинка,,,,есть,есть,есть,есть,есть
35333333,4-комнатная,100 м²,6 из 22,,,,,есть,панель,закрытая,67 м²,"10,3 м²",1,,совмещённый,Хороший,,,центральное,,,,,,во двор и на улицу,,КОПЭ,,,,,,,
65000000,4-комнатная,100 м²,6 из 51,,,,3 м,есть,монолит,подземная,57 м²,17 м²,3,,совмещённый,Дизайнерский,есть,есть,,,,2023,,,во двор и на улицу,,,есть,,,,,,
