price,Комнатность,Площадь квартиры,Жилая площадь,Этаж,Отделка,Срок сдачи,Высота потолков,Лифт,Материал стен,Парковка,Площадь кухни,Санузел,Кол-во санузлов,Балкон/лоджия,Серия дома,Отопление,,Тип жилья,Вид из окна,Ремонт,Вид из окон,Временная эпоха,Реновация,Территория,Год постройки,Кондиционер,Посудомойка,Холодильник,Мебель,Интернет,Кухонная мебель,Телевизор,Стиральная машина,Консьерж
13022426,2-комнатная,"55,8 м²","21,5 м²",2 из 16,без отделки,4 кв. 2026 г.,"2,95 м",,,,"19,1 м²",,,,,,,,,,,,,,,,,,,,,,,
21104631,2-комнатная,"55,8 м²","23,4 м²",3 из 12,без отделки,4 кв. 2027 г.,"2,92 м",есть,монолит,закрытая,"19,8 м²",,,,,,,,,,,,,,,,,,,,,,,
55000000,2-комнатная,"55,8 м²",30 м²,3 из 20,,,,,кирпич-монолит,,"15,5 м²",совмещённый,1,есть,,,,,во двор,Дизайнерский,,,,,2019,,,,,,,,,
24232326,2-комнатная,"55,8 м²","22,2 м²",32 из 44,без отделки,4 кв. 2027 г.,"2,92 м",есть,монолит,закрытая,"4,9 м²",,,,,,,,,,,,,,,,,,,,,,,
21465090,2-комнатная,"55,8 м²","23,4 м²",8 из 12,без отделки,4 кв. 2027 г.,"2,92 м",есть,монолит,закрытая,"19,8 м²",,,,,,,,,,,,,,,,,,,,,,,
19300000,2-комнатная,"55,8 м²","23,1 м²",8 из 25,,,,,монолит,,"19,5 м²",,,,,,Спортивная площадка,,,,,,,,2019,,,,,,,,,
12000000,2-комнатная,"55,9 м²","37,5 м²",1 из 9,,,"2,64 м",есть,панель,закрытая,"7,7 м²",раздельный,1,,II-49,центральное,Хорошие школы,,во двор,Нужен ремонт,,брежневка,,,,,,,,,,,,
25059825,2-комнатная,"55,9 м²",,14 из 15,предчистовая,2026 г.,"2,85 м",есть,монолит,подземная,,,,,,,,,во двор,,,,,,,,,,,,,,,
24859848,2-комнатная,"55,9 м²","22,7 м²",15 из 22,,2028 г.,"2,85 м",,,,,,,,,,,,,,,,,,,,,,,,,,,
23771754,2-комнатная,"55,9 м²","22,7 м²",22 из 46,,2028 г.,"2,85 м",,,,,,,,,,,,,,,,,,,,,,,,,,,
